frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
326,7.800000,2,false,false,-0.107210137,-0.285094410,0.203966066,-0.018184692,-0.115287527,-0.094780579,0.988632739
327,7.820000,2,false,false,-0.110064536,-0.293359280,0.203497291,-0.016582659,-0.120985396,-0.092732139,0.988174260
328,7.840000,2,false,false,-0.111661851,-0.302694172,0.200728133,-0.016261080,-0.126766264,-0.090865612,0.987628162
329,7.860000,2,false,false,-0.109566070,-0.301839590,0.203951880,-0.014481098,-0.132290602,-0.088400640,0.987154901
330,7.880000,2,false,false,-0.116961814,-0.314318031,0.197367460,-0.017253911,-0.134836033,-0.085586399,0.987013996
331,7.900000,2,false,false,-0.118213072,-0.320541412,0.196873158,-0.019981273,-0.141534522,-0.081387848,0.986379683
332,7.920000,2,false,true,-0.125047714,-0.324975580,0.196899742,-0.023941904,-0.151236624,-0.076420382,0.985248327
333,7.940000,2,false,false,-0.129494458,-0.328660339,0.193982527,-0.027096970,-0.161660641,-0.072531246,0.983804226
334,7.960000,2,false,false,-0.129810452,-0.335053176,0.195347369,-0.030109661,-0.169621661,-0.069455981,0.982597470
335,7.980000,2,false,false,-0.135432988,-0.342059821,0.197840989,-0.032705151,-0.176017702,-0.067181781,0.981547117
336,8.000000,2,false,false,-0.139264867,-0.347118199,0.196913436,-0.035414819,-0.182924107,-0.066542789,0.980233014
337,8.020000,2,false,false,-0.141222507,-0.350397140,0.196422204,-0.039712772,-0.191434518,-0.066740610,0.978428066
338,8.040000,2,false,false,-0.146043465,-0.351344287,0.195053279,-0.043698192,-0.199432224,-0.067368522,0.976615965
339,8.060000,2,false,false,-0.145733133,-0.353520483,0.193625972,-0.048085105,-0.207484663,-0.067570120,0.974716544
340,8.080000,2,false,false,-0.149714515,-0.355521083,0.193793267,-0.053380284,-0.216022849,-0.067681052,0.972575963
341,8.100000,2,false,false,-0.153143883,-0.357564032,0.193349898,-0.058887672,-0.225615293,-0.068439558,0.970023751
342,8.120000,2,false,false,-0.155245036,-0.358264595,0.194603369,-0.063427776,-0.234244242,-0.071270078,0.967485011
343,8.140000,2,false,false,-0.162131622,-0.356685132,0.193921626,-0.066229485,-0.240865961,-0.074996822,0.965387344
